Service numérique,Consommation énergétique (kWh),Nombre d'utilisateurs,Type d'énergie utilisée,Pays,Émission de CO2 (kg),Catégorie d'empreinte carbone
Recherche sur internet,0.8837378715213406,0.5219298871646496,Renouvelable,Allemagne,884.4474563296798,moyenne
E-commerce,0.3241834019687579,0.583937965184222,Non-renouvelable,Canada,827.7539269880531,moyenne
Applications de messagerie,0.12170225966005292,0.8665202858165841,Renouvelable,UK,130.8670751536666,faible
Éducation en ligne,0.3561716188398335,0.9940903523131879,Non-renouvelable,France,906.8371492405129,moyenne
Recherche sur internet,0.9073121426442345,0.6163467416824965,Non-renouvelable,Canada,2269.400392825741,élevée
Streaming audio,0.27191278500584404,0.559319727097954,Renouvelable,Allemagne,279.41092689078897,faible
Applications de messagerie,0.6478867281872289,0.5805197538759195,Renouvelable,Allemagne,651.2132193359488,moyenne
Streaming audio,0.0,0.41870203663314126,Non-renouvelable,Canada,26.28793306340665,faible
Jeux en ligne,0.3524385058429579,0.9968320782334744,Renouvelable,UK,359.0431677708273,faible
Recherche sur internet,0.3045979648735662,0.2700977978742075,Non-renouvelable,Allemagne,779.3336139411218,moyenne
E-commerce,0.1643173181089423,0.12085667777523355,Renouvelable,UK,173.00929461151233,faible
Éducation en ligne,0.5341601713879515,0.4258585082059788,Non-renouvelable,Allemagne,1346.8713129542189,élevée
Éducation en ligne,0.4848461499492753,0.7917172857998982,Non-renouvelable,Allemagne,1224.9541791134834,élevée
Email,0.6926822135148334,0.9362344672220212,Non-renouvelable,USA,1738.779181403419,élevée
Éducation en ligne,0.2691898560871076,0.3398763107281335,Non-renouvelable,Allemagne,691.7955261513406,moyenne
Stockage de fichiers,0.2438750298529065,0.022333868557582376,Non-renouvelable,France,629.210667563241,moyenne
Réseaux sociaux,0.16795653448218728,0.2009812958323876,Non-renouvelable,Canada,441.5203293780031,faible
Streaming vidéo,0.21848562996772647,0.8613291399950825,Renouvelable,Canada,226.57657737733953,faible
E-commerce,0.5581993570240744,0.45268130461765105,Renouvelable,UK,562.5209819971677,moyenne
Recherche sur internet,0.4037626184589102,0.39527895623833115,Renouvelable,Allemagne,409.79780934746043,faible
Stockage de fichiers,0.06444318624464368,0.019919428881483178,Non-renouvelable,France,185.60831159472937,faible
E-commerce,0.2536757675378385,0.30243902635156855,Non-renouvelable,UK,653.4406494875032,moyenne
Recherche sur internet,0.2466286177051023,0.32224024619645336,Non-renouvelable,USA,636.0182555255379,moyenne
Cloud computing,0.6965547389994214,0.44516618521948786,Non-renouvelable,UK,1748.3530752784761,élevée
Cloud computing,0.7125387448036733,0.3540097289253693,Renouvelable,UK,715.1478840251976,moyenne
Streaming audio,0.14773003858620298,0.23764218004000207,Renouvelable,Allemagne,156.6060606538659,faible
E-commerce,0.998324905532932,0.6878079239859604,Non-renouvelable,USA,2494.407700496131,élevée
Cloud computing,0.26655562138481187,0.40150603941628055,Renouvelable,UK,274.1132041325322,faible
Recherche sur internet,0.9771759718232531,0.5870912113390611,Renouvelable,France,976.8488062743263,élevée
Streaming audio,0.41097143836848193,0.49050457768514943,Non-renouvelable,France,1042.3166079626226,élevée
Éducation en ligne,0.03256639554674679,0.6285717272531536,Renouvelable,Canada,42.720225571542905,faible
Recherche sur internet,0.3449325911057358,0.8213768980541545,Non-renouvelable,USA,879.0513388660404,moyenne
Streaming audio,0.6345331746208227,0.2816265965507488,Renouvelable,USA,638.0078312543502,moyenne
E-commerce,0.6809386361350409,0.7618031622525575,Non-renouvelable,Canada,1709.745992598048,élevée
Stockage de fichiers,0.531001840158523,0.9864644622021579,Non-renouvelable,UK,1339.0630937099127,élevée
Email,0.44775829984865023,0.7550230296533801,Non-renouvelable,USA,1133.2633323184018,élevée
Éducation en ligne,0.5529846732418675,0.8391486617349909,Non-renouvelable,France,1393.4103954515367,élevée
Applications de messagerie,0.5928324055917377,0.8090642608849312,Renouvelable,France,596.7697566405997,moyenne
Stockage de fichiers,0.08042194838506846,0.5448322848982527,Non-renouvelable,Allemagne,225.11198267347024,faible
Jeux en ligne,0.3695430343175768,0.3504314931389505,Non-renouvelable,USA,939.894778751976,moyenne
Recherche sur internet,0.24190726825677805,0.864681009497131,Non-renouvelable,UK,624.3458472366291,moyenne
Jeux en ligne,0.8035085831421305,0.6903687177073718,Renouvelable,Canada,805.1083588160969,moyenne
Stockage de fichiers,0.4703007163143854,0.22400773264010834,Non-renouvelable,Canada,1188.9940702539452,élevée
Streaming audio,0.9839916995188444,0.6889067855404615,Renouvelable,UK,983.5889094858945,élevée
Applications de messagerie,0.3987453374652664,0.5849763149699883,Non-renouvelable,Allemagne,1012.0904950502688,élevée
Éducation en ligne,0.8168154260155807,0.8755672978318894,Renouvelable,Canada,818.2675544871901,moyenne
Éducation en ligne,0.7987086398837006,0.5009373293080609,Renouvelable,USA,800.3616737347056,moyenne
Éducation en ligne,0.15036356699567205,0.5769137751523398,Non-renouvelable,Allemagne,398.02592131443794,faible
Applications de messagerie,0.5082408450990484,0.3848755558387926,Renouvelable,USA,513.1167889733115,moyenne
Streaming vidéo,0.6960627284664561,0.022933357243188356,Non-renouvelable,France,1747.1366968074326,élevée
Streaming audio,0.28849262048714847,0.2510134716084209,Non-renouvelable,France,739.5169985074822,moyenne
Stockage de fichiers,0.3555458046697901,0.4228268886959392,Non-renouvelable,Allemagne,905.2899732507491,moyenne
Streaming audio,0.7193215662811713,0.17351699425781508,Renouvelable,Allemagne,721.855446132403,moyenne
Streaming audio,0.29692993650572835,0.6461064697534638,Renouvelable,USA,304.1504984669433,faible
Streaming audio,0.5665111936077649,0.44710035042546203,Renouvelable,Allemagne,570.7405938939282,moyenne
Recherche sur internet,0.47605685410438114,0.7471991193024701,Non-renouvelable,USA,1203.2247454427716,élevée
Réseaux sociaux,0.6638854780446373,0.06042693163718108,Non-renouvelable,UK,1667.586134272554,élevée
Applications de messagerie,0.9373466781787697,0.24346236680625918,Non-renouvelable,USA,2343.653604828776,élevée
Email,0.7328627436677142,0.5324997451871532,Non-renouvelable,Canada,1838.1159405953695,élevée
E-commerce,0.2146575526389491,0.09398764313495994,Renouvelable,France,222.7909748048492,faible
Streaming audio,0.03069672863830917,0.24301948499056839,Non-renouvelable,UK,102.17825927667957,faible
Jeux en ligne,0.26203364716103933,0.7384619034187943,Renouvelable,UK,269.6414038568268,faible
Recherche sur internet,0.5952162504974832,0.5031543518516098,Non-renouvelable,Canada,1497.8178784831307,élevée
Webinaire,0.050961833464348225,0.32434529181247623,Renouvelable,USA,60.91155534940785,faible
Stockage de fichiers,0.4963952065691804,0.3181614313264803,Renouvelable,France,501.402584729224,moyenne
E-commerce,0.5969831240268727,0.43164693131954457,Renouvelable,USA,600.8744204277203,moyenne
Applications de messagerie,0.33409323851319267,0.4697301436460934,Non-renouvelable,Allemagne,852.253629771978,moyenne
Jeux en ligne,0.7712453263354002,0.5252761276649554,Renouvelable,USA,773.2030817083637,moyenne
Applications de messagerie,0.10619539740504641,0.5780142449930531,Renouvelable,UK,115.5322706024341,faible
E-commerce,0.07470007166628383,0.39540118599046004,Non-renouvelable,France,210.96600979612668,faible
Streaming audio,0.7284745464572503,0.48770977831985957,Renouvelable,USA,730.9068686415674,moyenne
Jeux en ligne,0.4955193062579904,0.00249847263068783,Non-renouvelable,France,1251.3410076103412,élevée
Applications de messagerie,0.6886441082781938,0.23486547389459975,Non-renouvelable,France,1728.7959311586467,élevée
Stockage de fichiers,0.43478812041434994,0.8607471414220346,Renouvelable,Allemagne,440.47906521770875,faible
Réseaux sociaux,0.24615406293899483,0.15653268771363818,Renouvelable,Allemagne,253.93801290671573,faible
Streaming vidéo,0.8194888289950778,0.17504969101806325,Non-renouvelable,UK,2052.2782362436446,élevée
Réseaux sociaux,0.7997805801321173,0.5939573872505924,Renouvelable,Canada,801.4217201792894,moyenne
E-commerce,0.6949451557668044,0.5318329095164104,Non-renouvelable,France,1744.3737653647063,élevée
Recherche sur internet,0.2719256871293222,0.5017304154464632,Non-renouvelable,Canada,698.5592146441577,moyenne
Streaming vidéo,0.5903636164929515,0.5071603917704798,Non-renouvelable,UK,1485.8209005009905,élevée
Email,0.3608528582021586,0.47862316225657836,Renouvelable,France,367.3641579706266,faible
Stockage de fichiers,0.09116258151379276,0.5098301468827693,Non-renouvelable,France,251.66563148341953,faible
Email,0.9178088928021404,0.9494963953280089,Renouvelable,Canada,918.1404397076203,moyenne
Jeux en ligne,0.1364492556595237,0.7824597893265682,Renouvelable,USA,145.45044460977178,faible
Éducation en ligne,0.9507691466660033,0.7828029573971013,Renouvelable,Allemagne,950.7349802825944,moyenne
Streaming vidéo,0.44597893910176467,0.3264063105934395,Renouvelable,USA,451.54571522837614,faible
Email,0.1848170798911014,0.33969417231459925,Non-renouvelable,Canada,483.20399887558364,faible
Email,0.5419803536050952,0.1351481100928202,Renouvelable,Allemagne,546.4819379045746,moyenne
Applications de messagerie,0.8733919992066135,0.5572611207463091,Non-renouvelable,USA,2185.5409437941107,élevée
Réseaux sociaux,0.7325151482000751,0.5709343680510727,Non-renouvelable,Allemagne,1837.256593863664,élevée
Applications de messagerie,0.8069337651054987,0.6450299231701572,Renouvelable,France,808.4955363828353,moyenne
Streaming vidéo,0.6589922643117365,0.44960143652124474,Non-renouvelable,USA,1655.4888326090254,élevée
Streaming vidéo,0.6925225684710323,0.32817723474887317,Non-renouvelable,Allemagne,1738.3844971816848,élevée
E-commerce,0.8496155026064438,0.22093309147389176,Renouvelable,Allemagne,850.7036950496661,moyenne
Applications de messagerie,0.24942365685918988,0.5047950048238534,Non-renouvelable,Allemagne,642.9283219264852,moyenne
Cloud computing,0.48944623292088657,0.6196441304891059,Non-renouvelable,USA,1236.3267850167726,élevée
Webinaire,0.22093356122037705,0.33459268844942913,Non-renouvelable,UK,572.4933685035155,moyenne
Réseaux sociaux,0.9882412694123753,0.10033936849435662,Non-renouvelable,USA,2469.4783197917013,élevée
Streaming vidéo,0.9445842880504529,0.1304456822440578,Renouvelable,Canada,944.6187462897472,moyenne
E-commerce,0.03894953792703656,0.5570834051198584,Non-renouvelable,USA,122.58135813705209,faible
Éducation en ligne,0.7058359096942373,0.8964233523962157,Non-renouvelable,Allemagne,1771.298551976329,élevée
Applications de messagerie,0.9257524254757248,0.7424434169729278,Non-renouvelable,France,2314.989585603773,élevée
Réseaux sociaux,0.18025444693646842,0.6469120201100107,Non-renouvelable,USA,471.9239791901505,faible
Éducation en ligne,0.568053490648406,0.5529678007027808,Renouvelable,USA,572.2657782471032,moyenne
Applications de messagerie,0.9159815927440925,0.6525124747725229,Non-renouvelable,Allemagne,2290.8335365304038,élevée
Email,0.03346263305433259,0.34646304691029123,Renouvelable,France,43.60651879994086,faible
Éducation en ligne,0.6976719697912971,0.3855450049746303,Non-renouvelable,France,1751.1151614359287,élevée
E-commerce,0.2971574800664642,0.1463309261979571,Renouvelable,Canada,304.3755172988253,faible
Réseaux sociaux,0.9248993593899608,0.7880548160231142,Renouvelable,USA,925.1522334227652,moyenne
Streaming audio,0.9716131050025884,0.08035018019841829,Renouvelable,France,971.3476627137142,élevée
Jeux en ligne,0.9447916669734128,0.2042561686320259,Renouvelable,France,944.8238242222997,moyenne
Jeux en ligne,0.47421863429454153,0.9653291689442344,Renouvelable,UK,479.4720744908891,faible
Réseaux sociaux,0.8624767349289382,0.5234450938123398,Non-renouvelable,UK,2158.5555611985505,élevée
Éducation en ligne,0.8449641020981261,0.6760949765381197,Non-renouvelable,France,2115.259761374299,élevée
Applications de messagerie,0.31893304389154353,0.9488100591869428,Non-renouvelable,Canada,814.7736712770577,moyenne
E-commerce,0.8293128572444485,0.35245351097926736,Renouvelable,France,830.6263194091706,moyenne
Webinaire,0.03652768112322542,0.9498940440939809,Non-renouvelable,Allemagne,116.59389592084423,faible
Jeux en ligne,0.596409518811122,0.7742199359540223,Renouvelable,USA,600.3071796972325,moyenne
E-commerce,0.22974270533860447,0.8017925958121432,Renouvelable,Canada,237.70874891482606,faible
Jeux en ligne,0.12017950557898972,0.4390112738853119,Non-renouvelable,Allemagne,323.40304229876506,faible
Email,0.07651750282209852,0.26043099255986696,Non-renouvelable,Canada,215.45917403229265,faible
Applications de messagerie,0.6965392248690415,0.5475806449991646,Renouvelable,Allemagne,699.3258881193584,moyenne
Email,0.3397305500019608,0.3839598378767084,Renouvelable,USA,346.4762141303855,faible
Jeux en ligne,0.7250487706434087,0.7472797346488578,Non-renouvelable,USA,1818.7977595336847,élevée
Streaming audio,0.06490779409344936,0.01746960690871508,Non-renouvelable,UK,186.75694347738238,faible
Streaming audio,0.31511868731652326,0.8209776410019702,Non-renouvelable,Allemagne,805.3435861307606,moyenne
Email,0.5395680290000959,0.2656062565550228,Non-renouvelable,UK,1360.2409486289596,élevée
Streaming audio,0.7910782355418035,0.4318156003360514,Renouvelable,Allemagne,792.815933190574,moyenne
Jeux en ligne,0.31858468807196344,0.29362380858659987,Non-renouvelable,UK,813.912444756873,moyenne
Réseaux sociaux,0.6260638337500214,0.6428225503438817,Non-renouvelable,USA,1574.0811566815976,élevée
Email,0.8864383493257287,0.3423088436241202,Non-renouvelable,Canada,2217.794926884563,élevée
Webinaire,0.6160245354936068,0.5333501265218659,Renouvelable,UK,619.7045563004816,moyenne
Webinaire,0.2326966117486814,0.7126460952117499,Renouvelable,Allemagne,240.62988000609744,faible
Recherche sur internet,0.023906861118356354,0.8061834182072876,Renouvelable,Allemagne,34.156773740972646,faible
Éducation en ligne,0.8705418831467069,0.0942813564044671,Renouvelable,USA,871.3978851619206,moyenne
Applications de messagerie,0.02077202123781259,0.05660644774004626,Non-renouvelable,Allemagne,77.64179185470817,faible
Streaming audio,0.8751497812660733,0.22925275604971934,Renouvelable,France,875.9546559573575,moyenne
Streaming audio,0.5290021779399555,0.5894336802071632,Non-renouvelable,Canada,1334.1194067173496,élevée
Éducation en ligne,0.9395871167509976,0.25684974123680027,Non-renouvelable,UK,2349.192553819418,élevée
Streaming vidéo,0.7991472360457947,0.5000356838503336,Non-renouvelable,Canada,2001.9885085398219,élevée
Cloud computing,0.9985187455305984,0.2464692589157859,Non-renouvelable,USA,2494.8869235700104,élevée
Email,0.3505794075871375,0.7137529981973121,Renouvelable,UK,357.2046972971931,faible
Stockage de fichiers,0.7675172858801699,0.17681478513597756,Renouvelable,UK,769.5164060418157,moyenne
Streaming audio,0.40185525021871266,0.7618829734558391,Renouvelable,France,407.91160447314974,faible
Applications de messagerie,0.479886310081337,0.48198427940434707,Non-renouvelable,USA,1212.6921602521743,élevée
Recherche sur internet,0.6276797087414205,0.08558776528429776,Non-renouvelable,Allemagne,1578.076021465466,élevée
Webinaire,0.874124087683153,0.21578597248744982,Non-renouvelable,France,2187.3508576111885,élevée
Streaming audio,0.984652759386008,0.5574874870306794,Non-renouvelable,France,2460.6065862682553,élevée
Recherche sur internet,0.7686036129987973,0.7370267090101621,Non-renouvelable,Canada,1926.4766993146825,élevée
Jeux en ligne,0.4177086629754464,0.7839080510606747,Renouvelable,Canada,423.58911434566045,faible
Jeux en ligne,0.42130286060839495,0.657338941695403,Non-renouvelable,Canada,1067.8585806357487,élevée
Cloud computing,0.7378784987378463,0.6405413973876204,Renouvelable,France,740.2064785730026,moyenne
Réseaux sociaux,0.23852072802876378,0.35547527973625714,Non-renouvelable,Allemagne,615.9734357765483,moyenne
Stockage de fichiers,0.11007555137981727,0.8324654283800998,Non-renouvelable,UK,298.4234300002018,faible
Streaming vidéo,0.3544940819553876,0.055023693071442684,Renouvelable,Canada,361.07593606436876,faible
Cloud computing,0.28703626369149887,0.9727363321304021,Renouvelable,Allemagne,294.3666017375409,faible
E-commerce,0.29611543997496015,0.36402050645334894,Non-renouvelable,USA,758.3625981285754,moyenne
Streaming vidéo,0.23334560625552336,0.6093989452456948,Non-renouvelable,Canada,603.1791838485271,moyenne
Email,0.04161887021473772,0.27995377785426073,Non-renouvelable,UK,129.18064434999565,faible
Applications de messagerie,0.01737278335006791,0.032982532604484825,Non-renouvelable,USA,69.23798846519918,faible
E-commerce,0.9882957114000521,0.48785934893759625,Renouvelable,USA,987.8451658386712,élevée
E-commerce,0.42772610035331704,0.5022118961312474,Non-renouvelable,UK,1083.7385059962594,élevée
Cloud computing,0.38423148040270233,0.8284662236776318,Renouvelable,Canada,390.4833806880849,faible
Éducation en ligne,0.6798792949521264,0.25610208918389327,Non-renouvelable,France,1707.1270246653478,élevée
Réseaux sociaux,0.21797473287482688,0.5278725047188122,Renouvelable,UK,226.07134898641354,faible
Éducation en ligne,0.9504926708331072,0.7170745112971049,Renouvelable,UK,950.4615721107232,moyenne
Cloud computing,0.7866952346651042,0.05923679984013635,Non-renouvelable,UK,1971.2039106784914,élevée
Email,0.08898910521921499,0.42424620127822565,Renouvelable,USA,98.51689228913693,faible
Webinaire,0.41752245052080006,0.44386709203156505,Non-renouvelable,Allemagne,1058.5124200676978,élevée
Streaming audio,0.8795713092333785,0.9883515850364246,Renouvelable,France,880.3271244865432,moyenne
Streaming audio,0.94525771590501,0.3111577469438039,Non-renouvelable,Canada,2363.2117551712404,élevée
Réseaux sociaux,0.46739838124555844,0.7667594982870746,Renouvelable,Canada,472.7274961373711,faible
Email,0.6135700202296872,0.968621330820654,Non-renouvelable,Allemagne,1543.1931882965016,élevée
Réseaux sociaux,0.16669804569317243,0.8776210793248976,Non-renouvelable,UK,438.4090165778862,faible
Recherche sur internet,0.9917457658079329,0.9411321008097921,Renouvelable,France,991.2569398756068,élevée
Éducation en ligne,0.23140741168366025,0.7585142169485624,Renouvelable,Canada,239.35498436960899,faible
Streaming audio,0.9432552517192817,0.9435819227825603,Renouvelable,Canada,943.3044563937743,moyenne
E-commerce,0.6498454242316113,0.7799373934384737,Renouvelable,UK,653.1501825024447,moyenne
Éducation en ligne,0.6078891391438278,0.9731530792951444,Non-renouvelable,Allemagne,1529.1485673251764,élevée
Stockage de fichiers,0.5127355534493386,0.4514845386399809,Renouvelable,France,517.5616259063435,moyenne
Applications de messagerie,0.23040441204719952,0.6925270378041746,Non-renouvelable,Allemagne,595.9077840014528,moyenne
Email,0.176202649888478,0.888641056451047,Renouvelable,Allemagne,184.7627516854532,faible
Streaming vidéo,0.2202095272178346,0.6477853195232476,Non-renouvelable,France,570.703367448684,moyenne
Réseaux sociaux,0.1861238593458202,0.4641586381354012,Non-renouvelable,France,486.4346988070299,faible
Éducation en ligne,0.7799272039668447,0.3462165770482681,Non-renouvelable,Canada,1954.4715720777144,élevée
Applications de messagerie,0.34999220146978854,0.42879463572216775,Non-renouvelable,Canada,891.5600164376569,moyenne
Éducation en ligne,0.057385805640169735,0.8012112003464248,Renouvelable,France,67.26424979776242,faible
Streaming vidéo,0.96965532339662,0.11455078857288521,Renouvelable,USA,969.4116038394031,élevée
Applications de messagerie,0.8842440577374939,0.6832349631772819,Non-renouvelable,Canada,2212.3700652844786,élevée
Stockage de fichiers,0.9282591653420148,0.47533602627457183,Renouvelable,USA,928.4747603632609,moyenne
Streaming vidéo,0.9954891048881689,0.37406204245513736,Renouvelable,France,994.958744419971,élevée
Cloud computing,0.17356695030228214,0.9943438584273895,Non-renouvelable,Canada,455.39074181823105,faible
Jeux en ligne,0.39616005291505857,0.46881925054264584,Renouvelable,Allemagne,402.2795987136322,faible
Cloud computing,0.7585575573585933,0.8089201182331608,Renouvelable,France,760.6560909470504,moyenne
Streaming audio,0.6962707699587387,0.5728434037849809,Renouvelable,UK,699.0604118732543,moyenne
Éducation en ligne,0.15354545060549113,0.26529163556475677,Non-renouvelable,USA,405.89236819114126,faible
Jeux en ligne,0.8162160144472684,0.4484388466255843,Renouvelable,France,817.6747937407117,moyenne
Cloud computing,0.22416827093290026,0.871970164682477,Non-renouvelable,France,580.4904152957351,moyenne
Jeux en ligne,0.2235446237589539,0.3137509074252363,Renouvelable,Canada,231.57943867439687,faible
Webinaire,0.537048371135711,0.7875982637746195,Renouvelable,Canada,541.6046786644795,moyenne
Éducation en ligne,0.5930758860019413,0.8535832315254654,Renouvelable,Canada,597.010535493286,moyenne
Jeux en ligne,0.5802079186462163,0.5488033445920069,Non-renouvelable,UK,1460.7133643985826,élevée
E-commerce,0.09106724007519369,0.60528896983036,Non-renouvelable,Canada,251.4299225594433,faible
Réseaux sociaux,0.8779120280560471,0.5269573898640575,Renouvelable,France,878.6862540040765,moyenne
Réseaux sociaux,0.2653733413265586,0.7305821051220095,Non-renouvelable,Canada,682.3601054070475,moyenne
E-commerce,0.12913745440955876,0.419639265423314,Renouvelable,Allemagne,138.21977206997613,faible
Applications de messagerie,0.8892117501459329,0.5046243254495812,Non-renouvelable,Canada,2224.6514976757185,élevée
Recherche sur internet,0.9561892892824184,0.3406299938543363,Non-renouvelable,UK,2390.2374581186396,élevée
Applications de messagerie,0.8625617953372805,0.6424271129714514,Renouvelable,Allemagne,863.5063410927962,moyenne
Streaming vidéo,0.8098919656651993,0.6053858690746463,Renouvelable,France,811.4209139776294,moyenne
Streaming vidéo,0.6554469548189489,0.5134188365295675,Renouvelable,France,658.6895608326315,moyenne
Jeux en ligne,0.5509466994534902,0.3540726531234225,Renouvelable,USA,555.3487969030479,moyenne
Cloud computing,0.08656217705534092,0.8056380081455675,Non-renouvelable,Allemagne,240.29223078074008,faible
Cloud computing,0.40838477558741487,0.9733999512287205,Non-renouvelable,USA,1035.9217023499793,élevée
Réseaux sociaux,0.3725804566356144,0.28079169497082873,Non-renouvelable,Allemagne,947.4040796054771,moyenne
Email,0.25952060556097617,0.7607099296997992,Renouvelable,Allemagne,267.1562459227229,faible
Applications de messagerie,0.7237006208716362,0.187958198228915,Renouvelable,UK,726.1859125516992,moyenne
Webinaire,0.4959041510194894,0.000478063076583172,Non-renouvelable,USA,1252.2924443199577,élevée
Éducation en ligne,0.08061505165797458,0.011398728529127773,Renouvelable,UK,90.23575374857147,faible
Streaming audio,0.21990618440277282,0.19103706114643867,Non-renouvelable,Allemagne,569.953424825783,moyenne
Stockage de fichiers,0.6834947769962845,0.39832706068204604,Non-renouvelable,France,1716.0654400575,élevée
Cloud computing,0.07569424962903526,0.09438669915136767,Non-renouvelable,Allemagne,213.42387723849296,faible
Éducation en ligne,0.8516289933218594,0.9916461593421626,Non-renouvelable,UK,2131.7371122707027,élevée
Stockage de fichiers,0.49517413508166136,0.44645221108193633,Non-renouvelable,USA,1250.4876543595865,élevée
Éducation en ligne,0.4805980547571933,0.8940155469007419,Renouvelable,USA,485.7807115533815,faible
Jeux en ligne,0.5925431462626709,0.4808236998664519,Renouvelable,UK,596.4837068129225,moyenne
Stockage de fichiers,0.8250736577035569,0.7848746310742205,Renouvelable,USA,826.4341562658979,moyenne
Streaming audio,0.3476735843047263,0.11032662483648252,Non-renouvelable,Canada,885.8277895579278,moyenne
